image_name,label
real_12113.jpg,REAL
fake_11943.jpg,FAKE
real_47456.jpg,REAL
real_14279.jpg,REAL
real_36877.jpg,REAL
real_11771.jpg,REAL
fake_52211.jpg,FAKE
fake_25228.jpg,FAKE
fake_69600.jpg,FAKE
fake_55181.jpg,FAKE
fake_24854.jpg,FAKE
fake_30321.jpg,FAKE
fake_32192.jpg,FAKE
fake_69377.jpg,FAKE
fake_40096.jpg,FAKE
fake_37223.jpg,FAKE
fake_37884.jpg,FAKE
fake_29026.jpg,FAKE
real_2655.jpg,REAL
real_53271.jpg,REAL
fake_27787.jpg,FAKE
fake_4154.jpg,FAKE
fake_28285.jpg,FAKE
fake_50290.jpg,FAKE
fake_42247.jpg,FAKE
fake_48805.jpg,FAKE
fake_50228.jpg,FAKE
real_35084.jpg,REAL
fake_44339.jpg,FAKE
fake_62811.jpg,FAKE
fake_36184.jpg,FAKE
fake_6727.jpg,FAKE
fake_27724.jpg,FAKE
fake_60702.jpg,FAKE
real_49165.jpg,REAL
fake_37000.jpg,FAKE
fake_37034.jpg,FAKE
fake_63833.jpg,FAKE
real_23091.jpg,REAL
fake_4158.jpg,FAKE
real_57500.jpg,REAL
real_41560.jpg,REAL
real_813.jpg,REAL
fake_49141.jpg,FAKE
real_37023.jpg,REAL
real_12477.jpg,REAL
fake_57313.jpg,FAKE
fake_41496.jpg,FAKE
fake_16076.jpg,FAKE
fake_18636.jpg,FAKE
fake_42220.jpg,FAKE
real_2679.jpg,REAL
real_682.jpg,REAL
fake_48348.jpg,FAKE
real_56045.jpg,REAL
fake_21917.jpg,FAKE
real_22245.jpg,REAL
fake_52381.jpg,FAKE
fake_14637.jpg,FAKE
fake_47947.jpg,FAKE
real_3661.jpg,REAL
real_8495.jpg,REAL
fake_21346.jpg,FAKE
fake_62888.jpg,FAKE
fake_69386.jpg,FAKE
fake_26863.jpg,FAKE
fake_40247.jpg,FAKE
fake_62299.jpg,FAKE
fake_51241.jpg,FAKE
fake_51558.jpg,FAKE
fake_63432.jpg,FAKE
real_53831.jpg,REAL
real_49441.jpg,REAL
fake_18827.jpg,FAKE
real_17764.jpg,REAL
fake_11815.jpg,FAKE
fake_29420.jpg,FAKE
fake_25079.jpg,FAKE
fake_14246.jpg,FAKE
real_3997.jpg,REAL
fake_15043.jpg,FAKE
fake_26219.jpg,FAKE
real_64204.jpg,REAL
real_16483.jpg,REAL
fake_10531.jpg,FAKE
real_46051.jpg,REAL
fake_41003.jpg,FAKE
real_68657.jpg,REAL
real_29288.jpg,REAL
fake_12594.jpg,FAKE
real_46630.jpg,REAL
fake_44744.jpg,FAKE
real_24707.jpg,REAL
real_37049.jpg,REAL
real_24200.jpg,REAL
real_48321.jpg,REAL
fake_27240.jpg,FAKE
real_9436.jpg,REAL
fake_62344.jpg,FAKE
real_40757.jpg,REAL
fake_27330.jpg,FAKE
fake_23773.jpg,FAKE
fake_32817.jpg,FAKE
real_51015.jpg,REAL
real_7243.jpg,REAL
real_22622.jpg,REAL
fake_39295.jpg,FAKE
fake_20118.jpg,FAKE
fake_34915.jpg,FAKE
fake_42850.jpg,FAKE
fake_55982.jpg,FAKE
fake_23952.jpg,FAKE
real_20014.jpg,REAL
fake_7829.jpg,FAKE
real_25101.jpg,REAL
fake_17945.jpg,FAKE
real_5710.jpg,REAL
fake_24927.jpg,FAKE
fake_50097.jpg,FAKE
fake_15634.jpg,FAKE
fake_47944.jpg,FAKE
real_13367.jpg,REAL
fake_3515.jpg,FAKE
fake_54754.jpg,FAKE
real_50109.jpg,REAL
real_37101.jpg,REAL
fake_63544.jpg,FAKE
fake_49804.jpg,FAKE
fake_36019.jpg,FAKE
fake_60973.jpg,FAKE
fake_20015.jpg,FAKE
fake_60421.jpg,FAKE
fake_35422.jpg,FAKE
real_37339.jpg,REAL
real_56597.jpg,REAL
fake_20912.jpg,FAKE
